IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.27.48.252,1,1,0.00,146.09,0.00,N/A
172.66.140.111,1,1,0.00,146.10,0.00,N/A
104.18.7.251,1,1,0.00,146.13,0.00,N/A
104.19.50.74,1,1,0.00,146.14,0.00,N/A
104.24.212.46,1,1,0.00,146.17,0.00,N/A
172.64.69.0,1,1,0.00,146.23,0.00,N/A
172.64.155.200,1,1,0.00,146.25,0.00,N/A
104.19.5.21,1,1,0.00,146.36,0.00,N/A
162.159.5.156,1,1,0.00,146.37,0.00,N/A
104.19.142.246,1,1,0.00,146.39,0.00,N/A
104.19.24.180,1,1,0.00,146.40,0.00,N/A
104.18.165.169,1,1,0.00,146.41,0.00,N/A
104.24.70.38,1,1,0.00,146.42,0.00,N/A
104.25.193.164,1,1,0.00,146.53,0.00,N/A
104.18.232.13,1,1,0.00,146.53,0.00,N/A
172.67.169.210,1,1,0.00,146.54,0.00,N/A
172.64.93.202,1,1,0.00,146.55,0.00,N/A
104.18.27.236,1,1,0.00,146.56,0.00,N/A
104.20.44.160,1,1,0.00,146.62,0.00,N/A
104.24.241.182,1,1,0.00,146.63,0.00,N/A
172.67.127.219,1,1,0.00,146.63,0.00,N/A
104.21.58.157,1,1,0.00,146.65,0.00,N/A
172.66.197.22,1,1,0.00,146.69,0.00,N/A
172.66.174.220,1,1,0.00,146.70,0.00,N/A
104.21.223.10,1,1,0.00,146.72,0.00,N/A
104.19.29.130,1,1,0.00,146.78,0.00,N/A
172.66.173.248,1,1,0.00,146.78,0.00,N/A
104.25.158.205,1,1,0.00,146.80,0.00,N/A
104.17.181.77,1,1,0.00,146.81,0.00,N/A
172.66.211.36,1,1,0.00,146.82,0.00,N/A
104.20.50.53,1,1,0.00,146.86,0.00,N/A
104.21.45.168,1,1,0.00,146.86,0.00,N/A
104.21.209.188,1,1,0.00,146.89,0.00,N/A
104.25.202.245,1,1,0.00,146.91,0.00,N/A
104.25.110.218,1,1,0.00,146.91,0.00,N/A
104.27.97.18,1,1,0.00,146.92,0.00,N/A
104.18.53.31,1,1,0.00,146.97,0.00,N/A
172.66.3.79,1,1,0.00,146.97,0.00,N/A
104.19.10.200,1,1,0.00,146.98,0.00,N/A
104.27.71.38,1,1,0.00,147.06,0.00,N/A
172.64.67.179,1,1,0.00,147.07,0.00,N/A
104.25.214.107,1,1,0.00,147.07,0.00,N/A
104.16.107.218,1,1,0.00,147.11,0.00,N/A
104.19.189.41,1,1,0.00,147.16,0.00,N/A
104.25.160.214,1,1,0.00,147.21,0.00,N/A
104.25.230.158,1,1,0.00,147.24,0.00,N/A
104.19.122.83,1,1,0.00,147.24,0.00,N/A
104.17.53.5,1,1,0.00,147.24,0.00,N/A
104.21.28.59,1,1,0.00,147.25,0.00,N/A
104.21.14.145,1,1,0.00,147.26,0.00,N/A
172.67.146.18,1,1,0.00,147.27,0.00,N/A
104.20.33.201,1,1,0.00,147.30,0.00,N/A
104.21.119.89,1,1,0.00,147.30,0.00,N/A
104.16.139.46,1,1,0.00,147.30,0.00,N/A
104.24.140.195,1,1,0.00,147.39,0.00,N/A
104.17.252.218,1,1,0.00,147.40,0.00,N/A
104.27.29.63,1,1,0.00,147.40,0.00,N/A
104.18.93.50,1,1,0.00,147.45,0.00,N/A
104.18.100.36,1,1,0.00,147.47,0.00,N/A
104.24.63.233,1,1,0.00,147.51,0.00,N/A
104.24.233.239,1,1,0.00,147.55,0.00,N/A
104.20.34.185,1,1,0.00,147.55,0.00,N/A
104.25.79.242,1,1,0.00,147.62,0.00,N/A
104.19.17.230,1,1,0.00,147.64,0.00,N/A
104.19.134.143,1,1,0.00,147.66,0.00,N/A
104.24.161.213,1,1,0.00,147.68,0.00,N/A
104.27.61.52,1,1,0.00,147.71,0.00,N/A
104.16.49.200,1,1,0.00,147.73,0.00,N/A
172.64.235.64,1,1,0.00,147.76,0.00,N/A
